id;name;description;score_reward;mission_type
1;Vermont Center;Plastic SSL;Unbranded Arizona bypass;PERIODIC
2;customized;payment Towels copy;Mauritius Rupee;WEEKLY
3;Gorgeous;Officer transition Handmade Concrete Cheese;neural Baby Intuitive;WEEKLY
4;Practical Cotton Shoes Small Wooden Shoes relationships;function;solution;ONE_TIME
5;Designer synergies;algorithm Incredible Fresh Bacon;Home Loan Account Creative maroon;PERIODIC
6;Kentucky;Land background;Denmark microchip;WEEKLY
7;Swaziland;Buckinghamshire;Paradigm Manors;ONE_TIME
8;Licensed Concrete Cheese;Industrial;Electronics mobile;PERIODIC
9;Investment Account Facilitator;Tasty Plastic Chicken Fantastic Bedfordshire;Investor Chief;WEEKLY
10;Credit Card Account;seize leading-edge New Hampshire;International Infrastructure payment;WEEKLY
